codigo_tuss;descricao;inicio_vigencia;fim_vigencia
82001197;Redução simples de luxação de Articulação Têmporo-mandibular (ATM);2010-06-09;
82001219;Reeducação e/ou reabilitação de distúrbio buco-maxilo-facial;2010-06-09;
82001235;Reeducação e/ou reabilitação de sequela em traumatismo buco-maxilo-facial;2010-06-09;
82001243;Regeneração tecidual guiada - RTG;2010-06-09;
82001251;Reimplante dentário com contenção;2010-06-09;
82001286;Remoção de dentes inclusos / impactados;2010-06-09;
82001294;Remoção de dentes semi-inclusos / impactados;2010-06-09;
82001308;Remoção de dreno extra-oral;2010-06-09;
82001316;Remoção de dreno intra-oral;2010-06-09;
82001324;Remoção de implante dentário não ósseo integrado;2010-06-09;
82001332;Remoção de implante dentário ósseo integrado no seio maxilar;2010-06-09;
82001367;Remoção de odontoma;2010-06-09;
82001375;Remoção de tamponamento nasal;2010-06-09;
82001391;Retirada de corpo estranho oroantral ou oronasal da região buco-maxilo-facial;2010-06-09;
82001413;Retirada de corpo estranho subcutâneo ou submucoso da região buco-maxilo-facial;2010-06-09;
82001430;Retirada dos meios de fixação da região buco-maxilo-facial;2010-06-09;
82001448;Sedação consciente com óxido nitroso e oxigênio em odontologia;2010-06-09;
82001456;Sedação medicamentosa ambulatorial em odontologia;2010-06-09;
82001464;Sepultamento radicular;2010-06-09;
82001499;Sutura de ferida em região buco-maxilo-facial;2010-06-09;
82001502;Tracionamento cirúrgico com finalidade ortodôntica;2010-06-09;
82001510;Tratamento cirúrgico das fístulas buco nasal;2010-06-09;
82001529;Tratamento cirúrgico das fístulas buco sinusal;2010-06-09;
82001545;Tratamento cirúrgico de bridas constritivas da região buco-maxilo-facial;2010-06-09;
82001553;Tratamento cirúrgico de hiperplasias de tecidos moles na região buco-maxilo-facial;2010-06-09;
82001588;Tratamento cirúrgico de hiperplasias de tecidos ósseos/cartilaginosos na região buco-maxilo-facial;2010-06-09;
82001596;Tratamento cirúrgico de tumores benignos de tecidos ósseos/cartilaginosos na região buco-maxilo-facial;2010-06-09;
82001618;Tratamento cirúrgico dos tumores benignos de tecidos moles na região buco-maxilo-facial;2010-06-09;
82001634;Tratamento Cirúrgico para tumores odontogênicos benignos - sem reconstrução;2010-06-09;
82001642;Tratamento conservador de luxação da articulação têmporo-mandibular - ATM;2010-06-09;
82001650;Tratamento de alveolite;2010-06-09;
82001669;Tratamento odontológico regenerativo com enxerto de osso autógeno;2010-06-09;
82001685;Tunelização;2010-06-09;
82001707;Ulectomia;2010-06-09;
82001715;Ulotomia;2010-06-09;
82001723;Aplicação de laser pós cirúrgico;2013-12-01;
82001731;Exodontia de semi-incluso/impactado supra numerário;2013-12-01;
82001740;Exodontia de incluso/impactado supra numerário;2013-12-01;
82001758;Marsupialização de cistos odontológicos;2013-12-01;
82001766;Placa de contenção cirúrgica;2013-12-01;
83000020;Coroa de acetato em dente decíduo;2010-06-09;
83000046;Coroa de aço em dente decíduo;2010-06-09;
83000062;Coroa de policarbonato em dente decíduo;2010-06-09;
83000089;Exodontia simples de decíduo;2010-06-09;
83000097;Mantenedor de espaço fixo;2010-06-09;
83000100;Mantenedor de espaço removível;2010-06-09;
83000127;Pulpotomia em dente decíduo;2010-06-09;
83000135;Restauração atraumática em dente decíduo;2010-06-09;
83000151;Tratamento endodôntico em dente decíduo;2010-06-09;
84000015;Aparelho protetor bucal;2010-06-09;
84000031;Aplicação de cariostático;2010-06-09;
84000058;Aplicação de selante - técnica invasiva;2010-06-09;
84000074;Aplicação de selante de fóssulas e fissuras;2010-06-09;
84000090;Aplicação tópica de flúor;2010-06-09;
84000112;Aplicação tópica de verniz fluoretado;2010-06-09;
84000139;Atividade educativa em saúde bucal;2010-06-09;
84000163;Controle de biofilme (placa bacteriana);2010-06-09;
84000171;Controle de cárie incipiente;2010-06-09;
84000198;Profilaxia: polimento coronário;2010-06-09;
84000201;Remineralização;2010-06-09;
84000228;Teste de capacidade tampão da saliva;2010-06-09;
84000236;Teste de contagem microbiológica;2010-06-09;
84000252;Teste de PH salivar;2010-06-09;
85000787;Imobilização dentária em dentes decíduos;2010-06-09;
85100013;Capeamento pulpar direto;2010-06-09;
85100021;Clareamento dentário caseiro;2010-06-09;
85100030;Clareamento dentário de consultório;2010-06-09;
85100048;Colagem de fragmentos dentários;2010-06-09;
85100056;Curativo de demora em endodontia;2010-06-09;
85100064;Faceta direta em resina fotopolimerizável;2010-06-09;
85100072;Placa de Acetato para Clareamento Caseiro;2010-06-09;
85100080;Restauração atraumática em dente permanente;2010-06-09;
85100099;Restauração de amálgama  - 1 face;2010-06-09;
85100102;Restauração de amálgama - 2 faces;2010-06-09;
85100110;Restauração de amálgama - 3 faces;2010-06-09;
85100129;Restauração de amálgama - 4 faces;2010-06-09;
85100137;Restauração em ionômero de vidro - 1 face;2010-06-09;
85100145;Restauração em ionômero de vidro - 2 faces;2010-06-09;
85100153;Restauração em ionômero de vidro - 3 faces;2010-06-09;
85100161;Restauração em ionômero de vidro - 4 faces;2010-06-09;
85100170;Restauração em resina (indireta) - Inlay;2010-06-09;
85100196;Restauração em resina fotopolimerizável  1 face;2010-06-09;
85100200;Restauração em resina fotopolimerizável  2 faces;2010-06-09;
85100218;Restauração em resina fotopolimerizável  3 faces;2010-06-09;
85100226;Restauração em resina fotopolimerizável  4 faces;2010-06-09;
85100234;Tratamento de fluorose - microabrasão;2010-06-09;
85100242;Adequação do meio bucal;2013-12-01;
85100250;Aplicação de laser terapêutico;2013-12-01;
85100269;Dessensibilização dentinária;2013-12-01;
85200018;Clareamento de dente desvitalizado;2010-06-09;
85200026;Preparo para núcleo intrarradicular;2010-06-09;
85200034;Pulpectomia;2010-06-09;
85200042;Pulpotomia;2010-06-09;
85200050;Remoção de corpo estranho intracanal;2010-06-09;
85200069;Remoção de material obturador intracanal para retratamento endodôntico;2010-06-09;
85200077;Remoção de núcleo intrarradicular;2010-06-09;
85200085;Restauração temporária / tratamento expectante;2010-06-09;
85200093;Retratamento endodôntico birradicular;2010-06-09;
85200107;Retratamento endodôntico multirradicular;2010-06-09;
85200115;Retratamento endodôntico unirradicular;2010-06-09;
85200123;Tratamento de perfuração endodôntica;2010-06-09;
85200131;Tratamento endodôndico de dente com rizogênese incompleta;2010-06-09;
85200140;Tratamento endodôntico birradicular;2010-06-09;
85200158;Tratamento endodôntico multirradicular;2010-06-09;
85200166;Tratamento endodôntico unirradicular;2010-06-09;
85200174;Curativo endodôntico em situação de urgência;2013-12-01;
85200182;Curetagem apical;2013-12-01;
85300012;Dessensibilização dentária;2010-06-09;
85300020;Imobilização dentária em dentes permanentes;2010-06-09;
85300039;Raspagem sub-gengival/alisamento radicular;2010-06-09;
85300047;Raspagem supra-gengival;2010-06-09;
85300055;Remoção dos fatores de retenção do Biofilme Dental (Placa Bacteriana);2010-06-09;
85300063;Tratamento de abscesso periodontal agudo;2010-06-09;
85300071;Tratamento de gengivite necrosante aguda - GNA;2010-06-09;
85300080;Tratamento de pericoronarite;2010-06-09;
85300098;Manutenção periodontal;2013-12-01;
85300101;Tracionamento de raiz residual;2013-12-01;
85400017;Ajuste Oclusal por acréscimo;2010-06-09;
85400025;Ajuste Oclusal por desgaste seletivo;2010-06-09;
85400033;Conserto em prótese parcial removível (em consultório e em laboratório);2010-06-09;
85400041;Conserto em prótese parcial removível (exclusivamente em consultório);2010-06-09;
85400050;Conserto em prótese total (em consultório e em laboratório);2010-06-09;
85400068;Conserto em prótese total (exclusivamente em consultório);2010-06-09;
85400076;Coroa provisória com pino;2010-06-09;
85400084;Coroa provisória sem pino;2010-06-09;
85400092;Coroa total acrílica prensada;2010-06-09;
85400106;Coroa total em cerâmica pura;2010-06-09;
85400114;Coroa total em cerômero;2010-06-09;
85400122;Coroa total livre de metal (metalfree) sobre implante - cerâmica;2010-06-09;
85400130;Coroa total livre de metal (metalfree) sobre implante - cerômero;2010-06-09;
85400149;Coroa total metálica;2010-06-09;
85400157;Coroa total metalo cerâmica;2010-06-09;
85400165;Coroa total metalo plástica - cerômero;2010-06-09;
85400173;Coroa total metalo plástica - resina acrílica;2010-06-09;
85400181;Faceta em cerâmica pura;2010-06-09;
85400190;Faceta em cerômero;2010-06-09;
85400203;Guia cirúrgico para prótese total imediata;2010-06-09;
85400211;Núcleo de preenchimento;2010-06-09;
85400220;Núcleo metálico fundido;2010-06-09;
85400238;Onlay de Resina Indireta;2010-06-09;
85400246;Órtese miorrelaxante (placa oclusal estabilizadora);2010-06-09;
85400254;Órtese reposicionadora (placa oclusal reposicionadora);2010-06-09;
85400262;Pino pré fabricado;2010-06-09;
85400270;Placa oclusal resiliente;2010-06-09;
85400289;Prótese fixa adesiva direta (provisória);2010-06-09;
85400297;Prótese fixa adesiva em cerômero livre de metal (metal free);2010-06-09;
85400300;Prótese fixa adesiva indireta em metalo cerâmica;2010-06-09;
85400319;Prótese fixa adesiva indireta em metalo plástica;2010-06-09;
85400327;Prótese parcial fixa em cerômero livre de metal (metal free);2010-06-09;
85400335;Prótese parcial fixa em metalo cerâmica;2010-06-09;
85400343;Prótese parcial fixa em metalo plástica;2010-06-09;
85400351;Prótese parcial fixa In Ceran livre de metal (metal free);2010-06-09;
85400360;Prótese parcial fixa provisória;2010-06-09;
85400378;Prótese parcial removível com encaixes de precisão ou de semi precisão;2010-06-09;
85400386;Prótese parcial removível com grampos bilateral;2010-06-09;
85400394;Prótese parcial removível provisória em acrílico com ou sem grampos;2010-06-09;
85400408;Prótese total;2010-06-09;
85400416;Prótese total imediata;2010-06-09;
85400424;Prótese total incolor;2010-06-09;
85400432;Provisório para Faceta;2010-06-09;
85400440;Provisório para Inlay/Onlay;2010-06-09;
85400459;Provisório para Restauração metálica fundida;2010-06-09;
85400467;Recimentação de trabalhos protéticos;2010-06-09;
85400475;Reembasamento de coroa provisória;2010-06-09;
85400483;Reembasamento de prótese total ou parcial - imediato (em consultório);2010-06-09;
85400491;Reembasamento de prótese total ou parcial - mediato (em laboratório);2010-06-09;
85400505;Remoção de trabalho protético;2010-06-09;
85400513;Restauração em cerâmica pura - inlay;2010-06-09;
85400521;Restauração em cerâmica pura - onlay;2010-06-09;
85400530;Restauração em cerômero - onlay;2010-06-09;
85400548;Restauração em cerômero - inlay;2010-06-09;
85400556;Restauração metálica fundida;2010-06-09;
85400564;Prótese total imediata sobre implantes;2012-10-10;
85400572;Coroa 3/4 ou 4/5;2013-12-01;
85400580;JIG ou Front plato - órtese reposicionadora;2013-12-01;
85400599;Planejamento em prótese;2013-12-01;
85400602;Ponto de solda;2013-12-01;
85400610;Prótese total caracterizada;2013-12-01;
85500011;Coroa provisória sobre implante;2010-06-09;
85500020;Coroa provisória sobre implante com carga imediata;2010-06-09;
85500038;Coroa total metalo cerâmica sobre implante;2010-06-09;
85500046;Coroa total metalo plástica sobre implante - cerômero;2010-06-09;
85500054;Coroa total metalo plástica sobre implante - resina acrílica;2010-06-09;
85500062;Guia cirúrgico para implante;2010-06-09;
85500070;Intermediário protético (para implantes);2010-06-09;
85500089;Manutenção de prótese sobre implantes;2010-06-09;
85500097;Overdenture barra clipe ou o'ring sobre dois implantes;2010-06-09;
85500100;Overdenture barra clipe ou o'ring sobre quatro ou mais implantes;2010-06-09;
85500119;Overdenture barra clipe ou o'ring sobre três implantes;2010-06-09;
85500127;Prótese parcial fixa implanto suportada;2010-06-09;
85500135;Prótese parcial fixa provisória em carga imediata;2010-06-09;
85500143;Protocolo Branemark em carga imediata para 4 implantes - parte protética;2010-06-09;
85500151;Protocolo Branemark em carga imediata para 5 implantes - parte protética;2010-06-09;
85500160;Protocolo Branemark para 4 implantes;2010-06-09;
85500178;Protocolo Branemark para 5 implantes;2010-06-09;
85500186;Protocolo Branemark provisório para 4 implantes;2010-06-09;
85500194;Protocolo Branemark provisório para 5 implantes;2010-06-09;
85500208;Barra clipe;2013-12-01;
85500216;Plasma rico em plaquetas (PRP);2013-12-01;
85500224;Tratamento de perimplantite por implante;2013-12-01;
86000012;Aletas Gomes;2010-06-09;
86000020;Aparelho de Klammt;2010-06-09;
86000039;Aparelho de protração mandibular -  APM;2010-06-09;
86000047;Aparelho de Thurow;2010-06-09;
86000055;Aparelho extra-bucal;2010-06-09;
86000063;Aparelho ortodôntico fixo estético;2010-06-09;
86000080;Aparelho ortodôntico fixo estético parcial;2010-06-09;
86000098;Aparelho ortodôntico fixo metálico;2010-06-09;
86000110;Aparelho ortodôntico fixo metálico parcial;2010-06-09;
86000128;Aparelho removível com alças bionator invertida ou de Escheler;2010-06-09;
86000144;Arco lingual;2010-06-09;
86000152;Barra transpalatina fixa;2010-06-09;
86000160;Barra transpalatina removível;2010-06-09;
86000179;Bionator de Balters;2010-06-09;
86000187;Blocos geminados de Clark - twinblock;2010-06-09;
86000195;Botão de Nance;2010-06-09;
86000209;Contenção fixa por arcada, em ortodontia;2016-01-01;
86000225;Disjuntor palatino - Hirax;2010-06-09;
86000233;Disjuntor palatino - Macnamara;2010-06-09;
86000241;Distalizador com mola nitinol;2010-06-09;
86000250;Distalizador de Hilgers;2010-06-09;
86000268;Distalizador Distal Jet;2010-06-09;
86000276;Distalizador Pendulo/Pendex;2010-06-09;
86000284;Distalizador tipo Jones Jig;2010-06-09;
86000292;Documentação eletromiográfica;2010-06-09;
86000306;Gianelly;2010-06-09;
86000314;Grade palatina fixa;2010-06-09;
86000322;Grade palatina removível;2010-06-09;
86000330;Herbst encapsulado;2010-06-09;
86000357;Manutenção de aparelho ortodôntico - aparelho fixo;2010-06-09;
86000365;Manutenção de aparelho ortodôntico - aparelho ortopédico;2010-06-09;
86000373;Manutenção de aparelho ortodôntico - aparelho removível;2010-06-09;
86000381;Máscara facial - Delaire e Tração Reversa;2010-06-09;
86000390;Mentoneira;2010-06-09;
86000403;Modelador elástico de Bimler;2010-06-09;
86000411;Monobloco;2010-06-09;
86000420;Obtenção de modelos gnatostáticos de Planas;2010-06-09;
86000438;Pistas diretas de Planas - superior e inferior;2010-06-09;
86000446;Pistas indiretas de Planas;2010-06-09;
86000454;Placa de distalização de molares;2010-06-09;
86000462;Placa de Hawley;2010-06-09;
86000470;Placa de Hawley - com torno expansor;2010-06-09;
86000489;Placa de mordida ortodôntica;2010-06-09;
86000497;Placa de Schwarz;2010-06-09;
86000500;Placa de verticalização de caninos;2010-06-09;
86000519;Placa dupla de Sanders;2010-06-09;
86000527;Placa encapsulada de Maurício;2010-06-09;
86000535;Placa lábio-ativa;2010-06-09;
86000543;Plano anterior fixo;2010-06-09;
86000551;Plano inclinado;2010-06-09;
86000560;Quadrihélice;2010-06-09;
86000578;Regulador de função de Frankel;2010-06-09;
86000586;Simões Network;2010-06-09;
86000594;Splinter;2010-06-09;
86000608;Placa de contenção ortodôntica;2013-12-01;
86000616;Recolocação de mantenedor de espaço;2013-12-01;
87000016;Atividade educativa em odontologia para pais e/ou cuidadores de pacientes com necessidades especiais;2010-06-09;
87000024;Atividade educativa para pais e/ou cuidadores;2010-06-09;
87000032;Condicionamento em odontologia para pacientes com necessidades especiais;2010-06-09;
87000040;Coroa de acetato em dente permanente;2010-06-09;
87000059;Coroa de aço em dente permanente;2010-06-09;
87000067;Coroa de policarbonato em dente permanente;2010-06-09;
87000148;Estabilização por meio de contenção física e/ou mecânica em pacientes com necessidades especiais em odontologia;2010-06-09;
87000164;Sedação consciente com óxido nitroso e oxigênio em pacientes com necessidades especiais em odontologia;2010-06-09;
87000180;Sedação medicamentosa ambulatorial em pacientes com necessidades especiais em odontologia;2010-06-09;
87000199;Colocação de aparelho ortodôntico removível;2016-01-15;
